provider,DRG_CD,_TYPE_,_FREQ_,ip_type_sum,n_claims,pb_type_sum,sn_type_sum,proc227_Sum,proc232_Sum,proc34_Sum,proc48_Sum,,,,,,,,,,
450775,61,3,1,1,1,16,0,10,0,0,0,,,,,,,,,,
450801,61,3,1,1,1,30,0,17,0,0,0,,,,,,,,,,
450890,61,3,1,1,0,24,0,8,0,0,0,,,,,,,,,,
460004,61,3,1,1,0,26,0,26,0,0,0,,,,,,,,,,
490005,61,3,1,0,1,24,0,12,0,0,0,,,,,,,,,,
490018,61,3,1,1,1,15,0,4,0,0,0,,,,,,,,,,
490021,61,3,2,1,1,25,1,2,0,0,0,,,,,,,,,,
490045,61,3,1,1,0,32,0,9,0,0,0,,,,,,,,,,
490052,61,3,1,1,1,53,0,11,0,0,0,,,,,,,,,,
490067,61,3,1,1,0,13,0,20,0,0,0,,,,,,,,,,
490077,61,3,1,0,1,19,0,0,0,0,0,,,,,,,,,,
490118,61,3,1,1,1,24,0,16,0,0,0,,,,,,,,,,
500016,61,3,1,1,0,41,0,16,0,0,0,,,,,,,,,,
500024,61,3,1,1,1,39,0,7,0,0,0,,,,,,,,,,
500036,61,3,1,0,1,35,0,9,0,0,0,,,,,,,,,,
500039,61,3,1,1,0,29,0,4,0,0,0,,,,,,,,,,
500050,61,3,1,1,1,17,0,11,0,0,0,,,,,,,,,,
500054,61,3,3,1,0,8,0,11,0,0,0,,,,,,,,,,
500058,61,3,1,1,1,18,0,15,0,0,0,,,,,,,,,,
500108,61,3,1,1,1,19,0,15,0,0,0,,,,,,,,,,
510001,61,3,1,1,1,25,1,14,0,0,0,,,,,,,,,,
520070,61,3,1,1,1,19,0,3,0,0,0,,,,,,,,,,
520089,61,3,1,0,1,9,0,12,0,0,0,,,,,,,,,,
520098,61,3,1,1,0,34,0,7,0,0,0,,,,,,,,,,
520177,61,3,1,1,1,38,0,14,0,0,0,,,,,,,,,,
670047,61,3,1,1,1,22,0,11,0,0,0,,,,,,,,,,
10024,62,3,2,1,1,30,0,0,0,0,0,,,,,,,,,,
10035,62,3,1,0,1,28,0,11,0,0,0,,,,,,,,,,
10039,62,3,1,1,1,6,0,0,0,0,0,,,,,,,,,,
10085,62,3,1,1,1,11,1,17,0,0,0,,,,,,,,,,
10090,62,3,2,1,0,18,1,10,0,0,0,,,,,,,,,,
10092,62,3,1,1,1,8,0,13,0,0,0,,,,,,,,,,
10103,62,3,2,1,1,1,0,8,0,0,0,,,,,,,,,,
10113,62,3,1,1,1,16,0,9,0,0,0,,,,,,,,,,
20001,62,3,1,0,0,25,0,13,0,0,0,,,,,,,,,,
30002,62,3,1,0,1,17,0,0,0,0,0,,,,,,,,,,
30006,62,3,1,0,1,5,0,9,0,0,0,,,,,,,,,,
30010,62,3,1,1,0,25,0,12,0,0,0,,,,,,,,,,
30011,62,3,2,1,1,16,0,5,0,0,0,,,,,,,,,,
30023,62,3,1,0,0,24,1,13,0,0,0,,,,,,,,,,
30024,62,3,5,1,1,38,0,10,0,0,0,,,,,,,,,,
30030,62,3,1,1,1,5,0,21,0,0,0,,,,,,,,,,
30036,62,3,3,1,1,9,0,8,0,0,0,,,,,,,,,,
30065,62,3,1,1,1,17,0,15,0,0,0,,,,,,,,,,
30094,62,3,2,1,1,41,0,3,0,0,0,,,,,,,,,,
30103,62,3,2,1,1,15,0,18,0,0,0,,,,,,,,,,
40002,62,3,1,1,0,48,0,23,0,0,0,,,,,,,,,,
40007,62,3,1,0,1,33,0,9,0,0,0,,,,,,,,,,
40016,62,3,1,0,1,7,0,16,0,0,0,,,,,,,,,,
40026,62,3,1,1,0,12,0,0,0,0,0,,,,,,,,,,
40055,62,3,2,1,1,12,0,9,0,0,0,,,,,,,,,,
40071,62,3,1,1,0,13,0,13,0,0,0,,,,,,,,,,
50006,62,3,2,1,1,0,0,17,0,0,0,,,,,,,,,,
50007,62,3,2,1,1,10,0,13,0,0,0,,,,,,,,,,
50008,62,3,1,1,1,37,0,11,0,0,0,,,,,,,,,,
50013,62,3,2,0,1,25,0,0,0,0,0,,,,,,,,,,
50016,62,3,1,0,1,26,1,16,0,0,0,,,,,,,,,,
50017,62,3,1,1,1,10,0,11,0,0,0,,,,,,,,,,
50025,62,3,3,0,1,0,0,8,0,0,0,,,,,,,,,,
50026,62,3,3,1,0,50,0,21,0,0,0,,,,,,,,,,
50030,62,3,2,0,1,7,0,0,0,0,0,,,,,,,,,,
50039,62,3,1,1,0,8,0,14,0,0,0,,,,,,,,,,
50043,62,3,2,1,1,30,0,16,0,0,0,,,,,,,,,,
50057,62,3,1,1,1,22,1,0,0,0,0,,,,,,,,,,
50069,62,3,1,1,1,0,0,5,0,0,0,,,,,,,,,,
50077,62,3,2,1,1,48,0,6,0,0,0,,,,,,,,,,
50084,62,3,1,1,0,13,0,1,0,0,0,,,,,,,,,,
50090,62,3,1,0,1,31,0,22,0,0,0,,,,,,,,,,
50093,62,3,3,1,1,26,0,13,0,0,0,,,,,,,,,,
50100,62,3,1,1,1,44,0,5,0,0,0,,,,,,,,,,
50103,62,3,2,0,1,31,0,0,0,0,0,,,,,,,,,,
50108,62,3,1,1,0,18,0,0,0,0,0,,,,,,,,,,
50115,62,3,1,0,1,38,0,3,0,0,0,,,,,,,,,,
50116,62,3,1,1,1,36,0,12,0,0,0,,,,,,,,,,
50118,62,3,1,0,1,9,0,13,0,0,0,,,,,,,,,,
50133,62,3,1,0,0,30,0,7,0,0,0,,,,,,,,,,
50145,62,3,7,1,1,32,0,5,0,0,0,,,,,,,,,,
50152,62,3,1,1,0,28,0,13,0,0,0,,,,,,,,,,
50159,62,3,1,1,1,0,0,8,0,0,0,,,,,,,,,,
50168,62,3,1,1,1,28,0,0,0,0,0,,,,,,,,,,
50169,62,3,1,1,1,47,0,25,0,0,0,,,,,,,,,,
50174,62,3,1,0,1,17,0,24,0,0,0,,,,,,,,,,
50180,62,3,1,1,1,21,0,2,0,0,0,,,,,,,,,,
50197,62,3,1,1,0,58,0,10,0,0,0,,,,,,,,,,
50211,62,3,2,1,1,9,0,14,0,0,0,,,,,,,,,,
50224,62,3,2,1,1,35,0,1,0,0,0,,,,,,,,,,
50228,62,3,3,1,0,23,0,14,0,0,0,,,,,,,,,,
50231,62,3,1,1,0,42,0,3,0,0,0,,,,,,,,,,
50235,62,3,1,1,0,44,0,11,0,0,0,,,,,,,,,,
50242,62,3,2,1,1,30,0,0,0,0,0,,,,,,,,,,
50254,62,3,1,1,0,2,0,8,0,0,0,,,,,,,,,,
50280,62,3,6,1,1,25,0,19,0,0,0,,,,,,,,,,
50301,62,3,1,1,1,34,0,14,0,0,0,,,,,,,,,,
50308,62,3,1,0,1,26,0,21,0,0,0,,,,,,,,,,
50309,62,3,2,1,1,21,0,7,0,0,0,,,,,,,,,,
50324,62,3,1,1,0,18,0,7,0,0,0,,,,,,,,,,
50334,62,3,1,0,1,24,0,11,0,0,0,,,,,,,,,,
50348,62,3,2,1,1,23,0,15,0,0,0,,,,,,,,,,
50380,62,3,2,0,1,3,0,24,0,0,0,,,,,,,,,,
50385,62,3,1,0,1,39,0,16,0,0,0,,,,,,,,,,
